﻿Numéro de l'installation sportive;Nom de l'installation sportive;Adresse;Code Postal;Commune INSEE;Commune Nom;Date de création de la fiche d'enquête;Date de changement d'état de la fiche d'enquête;Accessibilité de l'installation en faveur des personnes en situation de handicap;Date de l'enquête;Observation Installation;Accessibilité de l'installation en transport en commun;Installation particulière;Type de particularité de l'installation (brute);Type de particularité de l'installation;Accessibilité de l'installation en fonction du type handicap;Accessibilité de l'installation en transport en commun des différents mode;SIRET Installation;Unité Administrative Immatriculée (UAI);Installation hors-service;Numéro de l'équipement sportif;Nom de l'équipement sportif;Code du type d'équipement sportif;Type d'équipement sportif;Famille d'équipement sportif;Coordonnées;Eclairage de l'aire d'évolution;Equipement d'accès libre;Arrêté d'ouverture au public;Locaux complémentaires;Ouverture exclusivement saisonnière;Présence de douches;Présence de sanitaires;Gestion en DSP;Accessibilité aux personnes à mobilité réduite à l'accueil;Accessibilité aux personnes à mobilité réduite à l'aire de jeu;Accessibilité aux personnes à mobilité réduite aux cheminements;Accessibilité aux personnes à mobilité réduite aux douches;Accessibilité aux personnes à mobilité réduite aux sanitaires;Accessibilité aux personnes à mobilité réduite aux tribunes;Accessibilité aux personnes à mobilité réduite aux vestiaires;Accessibilité aux personnes en situation de handicap sensoriel à l'aire de jeu;Accessibilité aux personnes en situation de handicap sensoriel aux cheminements;Accessibilité aux personnes en situation de handicap sensoriel aux sanitaires;Accessibilité aux personnes en situation de handicap sensoriel - signalétique;Accessibilité aux personnes en situation de handicap sensoriel aux tribunes;Accessibilité aux personnes en situation de handicap sensoriel aux vestiaires;Date de l'homologation préfectorale;Date des derniers gros travaux;Catégorie ERP de l'établissement;Hauteur de l'aire d'évolution;Largeur de l'aire d'évolution;Longueur de l'aire d'évolution;Surface de l'aire d'évolution;Nombre de couloirs/pistes/postes/jeux/pas;Nombre de places assises en tribune;Nombre de vestiaires arbitres/enseignants;Nombre de vestiaires sportifs;SAE: nombre de couloirs de la structure;SAE: hauteur maximale de la structure;SAE: surface totale de la structure;Longueur du bassin;Largeur du bassin;Surface du bassin;Profondeur minimale du bassin;Profondeur maximale du bassin;Longueur de la piste;Adresse internet de l'équipement;Année de mise en service;Nom du propriétaire;Observation Equipement;Types d'aménagements de confort;Type d'ERP de l'établissement;Types de locaux complémentaires;Motifs des derniers gros travaux;Types de chauffage - source d'énergie;Type d'utilisation;Type de pas de tir;Nature de l'équipement sportif;Nature du sol;Période de mise en service;Période de l'homologation préfectorale;Période des derniers gros travaux;Type de propriétaire;Type de propriétaire secondaire;Type de gestionnaire;Type du co-gestionnaire;Equipement inscrit au PDESI / PDIPR;equip_aps_code;EPCI INSEE;EPCI Nom;Bassin de vie Code;Bassin de vie Nom;Arrondissement Code;Arrondissement Nom;Département Code;Département Code Complet;Département Nom;Rectorat Nom;Région Code;Région Nom;Densite Niveau;Densite Catégorie;ZRR Simplifié;Catégorie;Discipline;Accessibilité aux personnes à mobilité réduite;Accessibilité aux personnes en situation de handicap sensoriel;RNB ID;Longitude;Latitude;Activités;QPV;QPV à 200 mètres;gen_2024Fin_Labellisation;Activité & niveau;Département
I751160038;POLO DE PARIS;ROUTE DES MOULINS BOIS DE BOULOGNE;75016;75116;Paris 16e Arrondissement;2005-09-22;2023-11-17;false;2025-03-31;;true;false;;;;Bus;78466292600012;;;E025I751160038;COURT DE TENNIS N°17;501;Court de tennis;Court de tennis;48.8680956691, 2.23527853478;false;false;true;true;false;true;true;true;true;true;true;true;true;false;true;false;false;false;false;false;false;;;4;;18.0;36.0;648.0;;0;0;2;;;;;;;;;;http://www.polodeparis.com/;1969;Mairie de Paris;Pas de modification depuis 2019.;Sauna;PA;"Réception / Accueil;Bureau(x) Club(s);Club(s) house;Local de rangement;Autre";;;Clubs sportifs,comités,ligues,fédérations;;Découvert;Béton;1965-1974;;;Commune;Commune;Etablissement privé commercial;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires;;;2.23527853478;48.8680956691;Tennis;;;;;
I751160062;CITE SCOLAIRE JANSON DE SAILLY;106 RUE DE LA POMPE;75016;75116;Paris 16e Arrondissement;2005-09-22;2025-01-07;false;2025-03-31;;false;true;"[""Etablissement scolaire""]";Etablissement scolaire;;;19750699100011;0750699C;;E011I751160062;ZONE DE LANCER DE POIDS 2;1002;Aire de lancer;Equipement d'athlétisme;48.8655, 2.27945;false;false;true;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;1;;6.0;23.0;138.0;;0;2;5;;;;;;;;;;http://www.janson-de-sailly.fr/;1884;;SOL : CIMENT ET SABLE1 FOSSE A SABLE/ VETUSTE;;PA;Local de rangement;;;Scolaires,universités;;Découvert;Bitume;Avant 1945;;;Région;;Etablissement Public;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;;;;2.27945;48.8655;Lancer;;;2025-09-01;;
I751200029;CENTRE SPORTIF DE LA PORTE DE BAGNOLET;72 RUE LOUIS LUMIERE;75020;75120;Paris 20e Arrondissement;2005-09-22;2019-02-15;true;2025-03-31;TELEPHONE DU CENTRE SPORTIF : 01 43 61 29 71;true;false;;;Handicap moteur;Métro,Bus,Tramway;21750001600019;;;E008I751200029;COURT DE TENNIS N°4;1701;Multisports/City-stades;Multisports/City-stades;48.863183, 2.412156;true;false;true;true;false;true;true;false;true;true;true;false;false;false;false;false;false;false;false;false;false;;;4;;20.0;40.0;800.0;;;1;10;;;;;;;;;;;1960;;;;PA;"Réception / Accueil;Local de rangement";;;Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers;;Découvert;Béton;1945-1964;;;Commune;;Commune;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;proximité;;Accueil,Aire de jeu,Cheminements;;;2.412156;48.863183;Handball / Mini hand / Handball de plage,Tennis;QN07517I;QN07517I;;;
I751050012;ESPACE SPORTIF PONTOISE;19 rue de pontoise;75005;75105;Paris 5e Arrondissement;2005-09-22;2025-02-03;true;2025-03-31;Vestiaire PMR avec douche et sanitaire;true;true;"[""Piscine""]";Piscine;Handicap moteur;Métro,Bus;98129090100017;;Non;E007I751050012;COURT DE SQUASH 3;2117;Salle ou terrain de squash;Salle ou terrain spécialisé;48.8491, 2.35181;true;false;true;true;false;true;true;true;true;true;true;true;true;false;true;false;false;false;false;false;false;;2014;3;6.0;6.8;9.0;61.2;;0;2;3;;;;;;;;;;https://www.espace-sportif-pontoise-paris.fr/;1983;Ville de Paris;;Sauna;X;"Réception / Accueil;Bureau(x) Club(s);Infirmerie;Local de rangement";Vétusté normale,remise à niveau;Gaz;Individuel(s),famille(s);;Intérieur;Parquet;1975-1984;;A partir de 2005;Commune;Commune;Etablissement privé commercial;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;structurant;;Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires;;953TG9TPX9FS;2.35181;48.8491;Squash;;;;;
I751190010;COLLEGE-LYCEE BERGSON;27 RUE EDOUARD PAILLERON;75019;75119;Paris 19e Arrondissement;2005-09-22;2025-01-07;true;2025-03-31;"TOUS LES EQUIPEMENTS EXCEPTES LE GYMNASE N°1 SONT ACCESSIBLES AUX PERSONNES HANDICAPEES MAIS AUCUN VESTIAIRES, SANITAIRES NE SONT PREVUS
1200 ELEVES 
TRAVAUX PREVUS EN 2015";false;true;"[""Etablissement scolaire""]";Etablissement scolaire;Handicap moteur;;19750711400019;0750711R;;E009I751190010;GYMNASE 610 ET 620 2;2106;Salle de gymnastique sportive;Salle ou terrain spécialisé;48.8812, 2.3784;true;false;true;true;false;false;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;;;1;6.0;13.0;19.0;238.0;;0;0;2;;;;;;;;;;http://lyc-bergson.scola.ac-paris.fr/;1965;;VESTIAIRE SANS DOUCHES INUTILISABLE EN L'ETAT  - ESPALIERS - CORDES A GRIMPER;;;"Réception / Accueil;Local de rangement";;;Clubs sportifs,comités,ligues,fédérations;;Intérieur;Synthétique (hors gazon);1965-1974;;;Région;;Etablissement Public;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;structurant;;Aire de jeu;;;2.3784;48.8812;Activités de forme et de santé,Aikido / Aikibudo / Budo,Gymnastique Artistique,Gymnastique Rythmique,Hockey en salle / Hockey sur gazon,Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...,Lutte traditionnelle / olympique libre / olympique gréco-romaine /  bretonne / féminine;;;2025-09-01;;
I751120061;INSEP;11 Avenue du Tremblay;75012;75112;Paris 12e Arrondissement;2005-09-22;2024-10-28;true;2025-03-31;Enseignement supérieur;true;true;"[""CREPS ou Ecole nationale"", ""Etablissement scolaire""]";CREPS ou Ecole nationale,Etablissement scolaire;Handicap moteur;Bus;13001080400016;0752559Z;;E008I751120061;VELODROME STADE JOSEPH MAIGROT;607;Vélodrome;Equipement de cyclisme;48.83148, 2.45054;true;false;true;true;false;true;true;false;true;false;true;true;true;false;true;false;false;true;false;false;false;;;2;25.0;30.0;167.0;5010.0;;0;1;2;;;;;;;;;;https://www.insep.fr/fr;1964;INSTITUT NATIONAL DU SPORT DE L EXPERTISE ET DE LA PERFORMANCE (INSEP);;Bain(s) bouillonnant(s);"R;X";"Réception / Accueil;Bureau(x) Club(s);Local contrôle anti-dopage;Infirmerie;Centre médico-sportif;Local de rangement;Salle(s) de réunion/cours;Autre";;"Gaz;Autre";Clubs sportifs,comités,ligues,fédérations,Autre - association(s) et groupes divers;;Intérieur;Parquet;1945-1964;;;Etablissement Public;;Etat;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;structurant;;Accueil,Cheminements,Douches,Sanitaires,Vestiaires;Sanitaires;EAZ34W6PBKHV;2.45054;48.83148;Cyclisme en salle;;;;;
I751180014;CENTRE SPORTIF DES POISSONNIERS;2 RUE JEAN COCTEAU;75018;75118;Paris 18e Arrondissement;2005-09-22;2017-10-16;true;2025-03-31;;true;true;"[""Complexe sportif""]";Complexe sportif;Handicap moteur;Métro,Bus;21750001600019;;;E007I751180014;TERRAIN DE VOLLEY-BALL;2904;Terrain de volley-ball;Terrain extérieur de petits jeux collectifs;48.90035, 2.35075;false;false;true;true;false;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;;;2;;9.0;18.0;162.0;;0;6;30;;;;;;;;;;;1975;;;;X;"Réception / Accueil;Local de rangement";;;Scolaires,universités;;Découvert;Synthétique (hors gazon);1975-1984;;1995-2004;Commune;;Commune;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Aire de jeu;;;2.35075;48.90035;Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley;QN07509M;QN07509M;;;
I751140033;CENTRE SPORTIF ELISABETH;7 avenue paul appell;75014;75114;Paris 14e Arrondissement;2005-09-22;2023-10-24;false;2025-03-31;;true;true;"[""Complexe sportif""]";Complexe sportif;;Métro,Bus;21750001600019;;;E017I751140033;COURT DE TENNIS COUVERT 7;501;Court de tennis;Court de tennis;48.820259, 2.326816;true;false;true;true;false;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;;2000;2;6.0;18.0;36.0;648.0;;0;1;20;;;;;;;;;;https://mairie14.paris.fr/;1959;Mairie de Paris;;;X;"Réception / Accueil;Bureau(x) Club(s);Club(s) house;Infirmerie;Local de rangement;Salle(s) de réunion/cours";Inadaptation aux attentes des usagers;;Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations;;Intérieur;Béton;1945-1964;;1995-2004;Commune;;Commune;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Aire de jeu;;H2ED8WWJEAD8;2.326816;48.820259;Tennis;;;;;
I751050016;LYCEE HENRI IV;23 RUE CLOVIS;75005;75105;Paris 5e Arrondissement;2005-09-22;2024-09-25;true;2025-03-31;Accessibilité PMR aux équipements sportifs : rez-de-chaussée uniquement;true;true;"[""Etablissement scolaire""]";Etablissement scolaire;"Handicap moteur;Handicap sensoriel";Bus,Métro;19750654600013;0750654D;Non;E006I751050016;TERRAIN DE BASKET-BALL;2901;Terrain de basket-ball;Terrain extérieur de petits jeux collectifs;48.846346, 2.347623;false;false;true;false;false;true;true;false;true;true;true;true;true;false;true;true;true;true;true;false;true;;;1;;12.0;26.0;312.0;;0;1;6;;;;;;;;;;https://lycee-henri4.com/;;Région Ile-de-France;;;"L;R;X";;;;Scolaires,universités;;Découvert;Bitume;;;;Région;;Etablissement Public;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires;Aire de jeu,Cheminements,Sanitaires,Signalétique,Vestiaires;;2.347623;48.846346;Basket-Ball;;;;;
I751060018;COLLEGE STANISLAS;22 Rue Notre-Dame des Champs;75006;75106;Paris 6e Arrondissement;2005-09-22;2023-11-09;true;2025-03-31;ASSOCIATION DE DROIT PRIVE;true;true;"[""Etablissement scolaire""]";Etablissement scolaire;Handicap moteur;Bus,Métro;57222293300010;0752900V;;E006I751060018;GYMNASE G3;1901;Salle multisports (gymnase);Salle multisports;48.84535, 2.32716;true;false;true;true;false;true;true;false;true;true;true;false;false;false;true;false;false;false;false;false;false;;;1;4.0;12.5;20.0;250.0;;0;2;4;;;;;;;;;;http://www.stanislas.fr/;;COLLEGE STANISLAS;Déclaration par téléphone avec le responsable des piscines et gymnases;;"L;R;X";Local de rangement;;Gaz;Scolaires,universités,Autre - association(s) et groupes divers;;Intérieur;Synthétique (hors gazon);1945-1964;;;Association(s);Association(s);Etablissement d'enseignement privé;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;structurant;;Accueil,Aire de jeu,Cheminements,Vestiaires;;WV9FFAAGN5CY;2.32716;48.84535;Badminton,Jeu de volant,Basket-Ball,Tennis de table,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley;;;2025-09-01;;
I751180005;LES JARDINS D'EOLE;56 RUE D'AUBERVILLIERS;75018;75118;Paris 18e Arrondissement;2017-09-06;;true;2025-03-31;;true;false;;;Handicap moteur;Métro,Bus;21750001600019;;;E004I751180005;2 TERRAINS DE HANDBALL 2;2903;Terrain de handball;Terrain extérieur de petits jeux collectifs;48.88895, 2.36676;false;true;true;false;false;false;true;false;false;true;true;false;true;false;false;false;false;true;false;false;false;;;;;;;385.0;;0;0;0;;;;;;;;;;www.mairie18.paris.fr;2007;;;;;;;;Individuel(s),famille(s);;Découvert;Bitume;A partir de 2005;;;Commune;;Commune;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;proximité;;Aire de jeu,Cheminements,Sanitaires;Sanitaires;;2.36676;48.88895;Football / Football en salle (Futsal),Handball / Mini hand / Handball de plage;;QN07513M;;;
I751200008;NEONESS PARIS NATION;81 RUE DE LAGNY;75020;75120;Paris 20e Arrondissement;2017-02-27;2019-03-29;true;2025-03-31;;true;false;;;Handicap moteur;Métro,Bus;;;;E004I751200008;SALLE DE MUSCULATION LIBRE;802;Salle de musculation/cardiotraining;Equipement d'activités de forme et de santé;48.849170208, 2.4088704586;true;false;true;true;false;true;true;false;true;false;true;true;true;false;true;false;false;true;false;false;false;;;;4.9;;;48.0;;0;0;2;;;;;;;;;;www.neoness-forme.com;2012;;;;;"Réception / Accueil;Bureau(x) Club(s);Local de rangement;Salle(s) de réunion/cours";;Electricité;Individuel(s),famille(s);;Intérieur;Synthétique (hors gazon);A partir de 2005;;;Etablissement privé commercial;;Etablissement privé commercial;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Accueil,Cheminements,Douches,Sanitaires,Vestiaires;Sanitaires;BCHGKT2C4N8X;2.4088704586;48.849170208;Musculation;;QN07517I;;;
I751200027;CMG SPORT CLUB ONE BAGNOLET;63-65 RUE DE BAGNOLET;75020;75120;Paris 20e Arrondissement;2005-09-22;2019-02-08;true;2025-03-31;PARKING PERSONNEL - FERME TOUS LES JOURS FERIES ET LE DIMANCHE;false;false;;;Handicap moteur;;;;;E004I751200027;STUDIO 1;801;Salle de cours collectifs;Equipement d'activités de forme et de santé;48.8574, 2.39914;true;false;false;true;false;true;true;false;false;true;false;false;true;false;true;false;false;true;false;false;false;;2009;5;4.0;14.0;21.0;294.0;;0;0;2;;;;;;;;;;http://www.clubmedgym.com;;;CATEGORIE ERP : 5EME CATEGORIE - TRAVAUX 2009: RENOVATION GLOBALE DU CLUB (PEINTURE, SOL, ETC...);Sauna;X;"Réception / Accueil;Bureau(x) Club(s);Local de rangement";Vétusté normale,remise à niveau;Autre;Individuel(s),famille(s),Autre - association(s) et groupes divers;;Intérieur;Parquet;;;A partir de 2005;Etablissement privé commercial;;Etablissement privé commercial;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Aire de jeu,Sanitaires,Vestiaires;Sanitaires;R5FCRJKCXD47;2.39914;48.8574;Activités de forme et de santé,Danses par Couple (Danses de compétition);;;;;
I751130020;PISCINE MUNICIPALE DE LA BUTTES AUX CAILLES;5 place paul verlaine;75013;75113;Paris 13e Arrondissement;2005-09-22;2023-10-30;true;2025-03-31;Piscine accessible aux PMR et personnes déficientes auditives;true;true;"[""Piscine""]";Piscine;"Handicap moteur;Handicap sensoriel";Métro,Bus;21750001600019;;;E004I751130020;SALLE DE FITNESS;802;Salle de musculation/cardiotraining;Equipement d'activités de forme et de santé;48.82722, 2.35257;true;false;true;true;false;true;true;false;true;true;true;true;true;false;true;false;false;true;false;false;false;;;2;3.5;5.0;12.0;60.0;;0;0;2;;;;;;;;;;www.mairie13.paris.fr;2005;;;;X;"Réception / Accueil;Bureau(x) Club(s);Infirmerie;Local de rangement";;Autre;Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Autre - association(s) et groupes divers;;Intérieur;Synthétique (hors gazon);A partir de 2005;;;Commune;;Commune;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires;Sanitaires;YFT8JWJ9YTAF;2.35257;48.82722;Activités de forme et de santé;;;;;
I751150050;FOREST HILL AQUABOULEVARD;4 RUE LOUIS ARMAND;75015;75115;Paris 15e Arrondissement;2005-09-22;2024-02-27;true;2025-03-31;Informations complémentaires à venir (dimensions bassins).;true;false;;;Handicap moteur;Métro,Bus,Tramway;;;Non;E015I751150050;COURT DE TENNIS 5;501;Court de tennis;Court de tennis;48.8309901953, 2.27659821488;true;false;true;true;false;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;;;1;8.0;18.0;36.0;648.0;;0;0;2;;;;;;;;;;http://www.aquaboulevard.com;1986;;;"Bain(s) de vapeur / hammam;Bain(s) bouillonnant(s);Sauna;Solarium";X;"Réception / Accueil;Bureau(x) Club(s);Buvette;Club(s) house;Infirmerie;Local de rangement;Salle(s) de réunion/cours";;Autre;Individuel(s),famille(s),Autre - association(s) et groupes divers;;Intérieur;Synthétique (hors gazon);1985-1994;;;Etablissement privé commercial;;Etablissement privé commercial;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Aire de jeu;;WAWQXNQ77M16;2.27659821488;48.8309901953;Tennis;;;;;
I751130058;COLLEGE - LYCEE CLAUDE MONET;1 RUE DU DOCTEUR MAGNAN;75013;75113;Paris 13e Arrondissement;2005-09-22;2025-01-07;true;2025-03-31;;false;true;"[""Etablissement scolaire""]";Etablissement scolaire;Handicap moteur;;19750683500010;0750683K;;E004I751130058;SALLE DE JUDO;2105;Salle de danse;Salle ou terrain spécialisé;48.82668, 2.36282;true;false;true;true;false;true;true;false;true;true;true;false;true;false;true;false;false;true;false;false;false;;;1;2.0;9.0;16.0;144.0;;0;0;4;;;;;;;;;;www.ac-paris.fr;1999;;;;R;"Réception / Accueil;Bureau(x) Club(s);Infirmerie;Local de rangement";Vétusté normale,remise à niveau;Autre;Scolaires,universités;;Intérieur;Synthétique (hors gazon);1995-2004;;1995-2004;Région;;Région;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Accueil,Aire de jeu,Cheminements,Sanitaires,Vestiaires;Sanitaires;89F11CPS84NT;2.36282;48.82668;Activités de forme et de santé,Autres Danses,Boxe Anglaise,Gymnastique Artistique;;;;;
I751080004;KEEP COOL PARIS 8 MONCEAU;30 RUE DE LISBONNE;75008;75108;Paris 8e Arrondissement;2017-02-24;2018-12-03;true;2025-03-31;;true;false;;;Handicap moteur;Bus,Métro;;;;E006I751080004;STUDIO N°4;801;Salle de cours collectifs;Equipement d'activités de forme et de santé;48.8778294057, 2.31372250026;true;false;true;true;false;true;true;true;true;false;false;true;true;false;true;false;false;true;false;false;false;;;;2.5;;;17.0;;0;0;5;;;;;;;;;;www.keepcool.fr;2016;;;Sauna;;"Réception / Accueil;Local de rangement";;Electricité;Individuel(s),famille(s);;Intérieur;Synthétique (hors gazon);A partir de 2005;;;Etablissement privé commercial;;Etablissement privé commercial;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Accueil,Douches,Sanitaires,Vestiaires;Sanitaires;WM2J5C6MHZV7;2.31372250026;48.8778294057;Activités de forme et de santé,Autres Danses,Expression gymnique;;;;;
I751120008;RE-CORPS;16A BD DE REUILLY;75012;75112;Paris 12e Arrondissement;2013-11-27;2019-01-16;true;2025-03-31;;true;false;;;Handicap moteur;Métro,Bus;;;;E006I751120008;SALLE DE DANSE N°2;2105;Salle de danse;Salle ou terrain spécialisé;48.838902, 2.391222;true;false;true;true;false;true;true;false;true;true;true;true;true;false;true;false;false;true;false;false;false;;;5;5.0;8.0;10.0;80.0;;0;0;2;;;;;;;;;;www.re-corps.com;2013;;;;;"Réception / Accueil;Club(s) house;Local de rangement";;;Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers;;Intérieur;Parquet;A partir de 2005;;;Etablissement privé commercial;;Etablissement privé commercial;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires;Sanitaires;FGR9BNPP91M3;2.391222;48.838902;Activités de forme et de santé,Autres Danses;;;;;
I751180015;CENTRE SPORTIF CHAMPIONNET;172 RUE CHAMPIONNET;75018;75118;Paris 18e Arrondissement;2005-09-22;2017-10-16;true;2025-03-31;;true;true;"[""Complexe sportif""]";Complexe sportif;Handicap moteur;Métro,Bus;21750001600019;;;E006I751180015;TERRAIN DE VOLLEY BALL;2904;Terrain de volley-ball;Terrain extérieur de petits jeux collectifs;48.89567, 2.33509;false;false;true;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;2012;5;;20.0;40.0;800.0;;0;0;2;;;;;;;;;;http://www.paris18eme.fr/centre-sportif-championnet-172-rue-championnet-75018-paris/;;;;;;"Réception / Accueil;Local de rangement";;;Clubs sportifs,comités,ligues,fédérations,Scolaires,universités;;Découvert;Synthétique (hors gazon);1995-2004;;A partir de 2005;Commune;;Commune;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;;;;2.33509;48.89567;Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley;;QN07509M;;;
I751200032;TEP AMANDIERS;21 RUE DES CENDRIERS;75020;75120;Paris 20e Arrondissement;2005-09-22;2019-02-15;true;2025-03-31;TÉLÉPHONE DU CENTRE SPORTIF : 01 43 58 36 47;true;false;;;Handicap moteur;Métro,Bus;21750001600019;;;E006I751200032;COURT DE TENNIS N°2;501;Court de tennis;Court de tennis;48.8661808133, 2.38642950203;false;false;true;true;false;true;true;false;true;true;true;true;true;false;true;false;false;true;false;false;false;;;5;;20.0;40.0;800.0;;0;2;4;;;;;;;;;;;1989;;;;PA;"Réception / Accueil;Local de rangement";;;Individuel(s),famille(s),Autre - association(s) et groupes divers;;Découvert;Synthétique (hors gazon);1985-1994;;;Commune;;Commune;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires;Sanitaires;;2.38642950203;48.8661808133;Tennis;QN07520M;QN07520M;;;
I751160075;HEALTHCITY PARIS XVI;56 RUE LA FONTAINE;75016;75116;Paris 16e Arrondissement;2005-09-22;2019-02-08;true;2025-03-31;;true;false;;;Handicap moteur;Métro,Bus;;;;E006I751160075;SALLE DE CYCLING;802;Salle de musculation/cardiotraining;Equipement d'activités de forme et de santé;48.850728, 2.271054;true;false;true;true;false;true;true;false;false;true;false;false;true;false;true;false;false;true;false;false;false;;;5;2.0;5.0;7.0;35.0;;;0;2;;;;;;;;;;http://www.fitnessfirst.fr;2002;;;"Bain(s) de vapeur / hammam;Sauna";X;"Réception / Accueil;Bureau(x) Club(s);Buvette;Local de rangement";;Electricité;Individuel(s),famille(s);;Intérieur;Parquet;1995-2004;;;Etablissement privé commercial;;Etablissement privé commercial;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Aire de jeu,Sanitaires,Vestiaires;Sanitaires;V72MDGE5DZTD;2.271054;48.850728;Activités de forme et de santé,Musculation;;;;;
I751160055;LAGARDERE PARIS RACING;11 chemin de la croix catelan;75016;75116;Paris 16e Arrondissement;2005-09-22;2024-02-22;true;2025-03-31;"Contact dans la fiche ""Mur d'entraînement"". Courts de tennis en terre-battue ouverts de la mi avril à la fin octobre";false;false;;;Handicap moteur;;21750001600019;;Non;E038I751160055;COURT DE TENNIS EN GREENSET 4;501;Court de tennis;Court de tennis;48.8653, 2.25654;false;false;true;true;false;true;true;false;false;true;false;false;false;false;true;false;false;false;false;false;false;;;1;;18.0;36.0;648.0;;0;0;2;;;;;;;;;;;;Mairie de Paris;Centre de Préparation aux Jeux (CPJ);;PA;"Réception / Accueil;Bureau(x) Club(s);Buvette;Club(s) house;Salle(s) de réunion/cours;Autre";;;Clubs sportifs,comités,ligues,fédérations;;Découvert;Synthétique (hors gazon);1965-1974;;;Commune;Commune;Etablissement privé commercial;;false;;200054781;Métropole du Grand Paris;75056;Paris;751;Paris;75;75;Paris;Académie de Paris;11;Île-de-France;7;Grands centres urbains;;;;Aire de jeu,Vestiaires;;;2.25654;48.8653;Tennis;;;;;
